"","exsd_chi","exsd_p","e_chi","e_p","sd_chi","sd_p"
"1",2.72117337741508,0.256510241137198,0.676960080824898,0.410635478852439,0.937252172498745,0.625861557652839
"2",4.96618616868531,0.0834846009124792,0.978434843862715,0.322585523707021,4.20734392574732,0.122007597344323
"3",4.84626621695315,0.0886434523742141,1.2611455663382,0.261434361865714,11.3137436517284,0.00349342787431929
"4",1.73349704272056,0.420315978264924,0.330884837299493,0.565138527761956,13.724323981016,0.00104664864031436
"5",2.53640390004771,0.281337025303454,0.148196750464408,0.700264598554041,0.389352681428733,0.823101019236449
"6",1.92316211785391,0.382287988075294,0.275801199624198,0.599466559397169,2.69817075565601,0.259477476000827
"7",0.399824388016384,0.818802645700035,4.85337789184035,0.0275920470410193,3.65952776022479,0.160451449080855
"8",3.97381558948791,0.137118769955297,1.8050334320933,0.179105166681747,10.8881633486978,0.00432180701209153
"9",4.46782400240858,0.107108600510023,1.94482580982501,0.163145511827435,5.91182940652055,0.0520310458353451
"10",0.74148132168167,0.690222920181459,2.45670305267758,0.117024182885877,2.41944435744772,0.298280136487794
"11",1.26785165780973,0.530505035542225,0.00756289476021266,0.930699407869837,1.72721025074947,0.421639276559317
"12",0.449747403133244,0.798617076475785,0.280038122038832,0.596676231288226,2.47866749015662,0.289577085840971
"13",4.97282978148223,0.0832077413225553,0.615854384041086,0.432592007617202,2.07303799167465,0.354687203139097
"14",1.71150277478364,0.424963758678311,2.77899999852605,0.0955077850369142,1.76191917960466,0.414385081136945
"15",0.341642886292441,0.842972078476527,2.63474146465653,0.104549078695891,0.656515373528791,0.720177415604451
"16",0.669058467653485,0.715674922605393,0.0706149554185913,0.790443501452315,3.36299708945251,0.186094895460097
"17",2.27699063902801,0.320300609484401,3.96067211535944,0.0465751034192224,2.311439287881,0.31483088921867
"18",0.483049210974229,0.785429477676329,0.194811962084941,0.658941479303219,0.435988052389462,0.804130245369708
"19",1.39656381312676,0.497439217083935,4.57747683607494,0.0323948823365589,0.650122932082127,0.722482944110937
"20",0.81941029869833,0.663845956695184,0.42395238586483,0.514971440122381,4.43520824936267,0.10886963467728
